AuthorID,Author,Date,Content,Attachments,Reactions
857245714785501214,ayysaph,2024-04-02T16:18:41.3770000+01:00,"well, i think this channel is supposed to be **share-your-gear**, so maybe we should move to gear-help",,
445551814687981568,jerektio_,2024-04-02T16:18:55.0990000+01:00,had the same thoughts lol,,😂 (1)
445551814687981568,jerektio_,2024-04-02T16:19:07.6590000+01:00,everything relevant got buried,,😂 (1)
721686599317979136,marlow925,2024-04-02T18:31:05.4860000+01:00,,https://cdn.discordapp.com/attachments/1224713323409313872/1224773113452171416/20240402_183036.jpg?ex=6853a099&is=68524f19&hm=8682be45e1d3c3e315354aa8ea311751eac531d5e1d2fa6602a97205f2474710&,
721686599317979136,marlow925,2024-04-02T18:31:33.7860000+01:00,"Shoulder rig, I recently put together. BMPCC 6k, Canon CN-E 18-80mm T/4.4 IS PZ cine zoom.",,❤️ (3)
1122989053806137386,kaijg.05,2024-04-02T20:18:03.1180000+01:00,,https://cdn.discordapp.com/attachments/1224713323409313872/1224800030985162833/20231021_172715.jpg?ex=6853b9ab&is=6852682b&hm=34e7611780dad1024f716f713882dd0f915f0f76bfea8c1107624d2bd2cd66e5&,🔥 (3)
1122989053806137386,kaijg.05,2024-04-02T20:18:37.4100000+01:00,Video rig I did for a wedding. Went handheld with it too...,,
857245714785501214,ayysaph,2024-04-02T20:25:29.2010000+01:00,Wow! Great job. Looks like an S5 something?,,
857245714785501214,ayysaph,2024-04-02T20:25:42.7220000+01:00,or at least a squarer Panasonic camera,,
1122989053806137386,kaijg.05,2024-04-02T20:26:41.1410000+01:00,Yup! S5iix rig,,❤️ (1)
857245714785501214,ayysaph,2024-04-02T20:27:59.3150000+01:00,That also looks like a telephoto lens,,
857245714785501214,ayysaph,2024-04-02T20:28:31.1570000+01:00,"From your experience, what lenses are necessary for wedding videography?",,
1122989053806137386,kaijg.05,2024-04-02T20:28:46.4820000+01:00,It's a 100-400 f5-6.3 from sigma,,👍 (4)
1122989053806137386,kaijg.05,2024-04-02T20:29:14.1900000+01:00,"Well, it depends on your goal with the video",,
857245714785501214,ayysaph,2024-04-02T20:29:56.3520000+01:00,Just saw your profile section. It seems like you have more lenses on the telephoto side than on the wide angle side.,,
1122989053806137386,kaijg.05,2024-04-02T20:30:09.2270000+01:00,"Definitely, that's my style for sure",,
1122989053806137386,kaijg.05,2024-04-02T20:30:25.8170000+01:00,I do more cinema documentary style for my weddings,,
1122989053806137386,kaijg.05,2024-04-02T20:30:55.7800000+01:00,"I like up tight shots that show important details, especially during the bridals and first/last dance",,☝️ (8)
1122989053806137386,kaijg.05,2024-04-02T20:31:46.1990000+01:00,"Some people just like documenting things as they happen, so their priorities are getting the whole shot. In that case, you'd just rely on wider ranges of lenses",,
1122989053806137386,kaijg.05,2024-04-02T20:31:57.4820000+01:00,It honestly depends on your style,,
1122989053806137386,kaijg.05,2024-04-02T20:32:06.9560000+01:00,And what the customer asks for,,
857245714785501214,ayysaph,2024-04-02T20:32:17.8230000+01:00,Thanks for sharing!,,🤙 (9)
1122989053806137386,kaijg.05,2024-04-02T20:35:38.2310000+01:00,Ofc!,,
435459109488295961,theolly,2024-04-04T14:59:14.4530000+01:00,is that a deity d4 mini?,,
1122989053806137386,kaijg.05,2024-04-04T17:37:57.0010000+01:00,"Yeah, killer mic for the size",,
435459109488295961,theolly,2024-04-04T17:41:55.0750000+01:00,"nice one, yeah ive got the d4 duo",,
1122989053806137386,kaijg.05,2024-04-04T18:18:22.5030000+01:00,"Lit, haven't seen your rig yet",,
